D4420;D4433;4U27;4U32;L4115;D4428
1085.67;1877.61;10.16;15.26;1.53;1187.62
1086.83;1857.87;9.75;17.51;1.53;1189.17
1090.48;1840.42;7.19;17.46;1.53;1186.84
1081.19;1872.93;6.78;17.5;1.54;1182.41
1083.4;1903.37;6.78;17.48;1.54;1181.15
1091.78;1916.08;6.78;17.52;1.54;1177.37
1083.27;1924.2;6.79;17.48;1.53;1179.68
1092.61;1926.54;6.78;17.51;1.53;1186.18
1093.45;1947.38;6.78;17.48;1.54;1185.51
1093.05;1964.37;6.78;17.64;1.54;1180.99
1097.09;1982.69;6.78;17.61;1.53;1186.98
1082.33;2006.25;6.78;17.48;1.53;1190.18
1076.47;2007.26;6.79;16.03;1.53;1193.32
1088.39;2003.19;6.79;15.58;1.53;1196.99
1102.01;1999.88;6.79;15.51;1.53;1194.45
1102.17;2015.75;6.79;15.49;1.54;1198.5
1112.25;2025.69;7.12;15.53;1.54;1197.62
1092.77;2034.38;9.08;15.52;1.54;1198.69
1091.2;2038.27;9.85;15.53;1.54;1198.3
1089.65;2024.17;10.98;15.58;1.53;1202.36
1092.51;2014.24;12.01;15.52;1.53;1204.25
1086.39;1994.84;12.26;15.54;1.53;1206.12
